Step 2800/900000, Total Loss: 4.5049, Mel Loss: 1.3759, Mel PostNet Loss: 1.3641, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7649, Binarization Loss: 0.0000
Step 2900/900000, Total Loss: 4.5500, Mel Loss: 1.4563, Mel PostNet Loss: 1.4731, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.6207, Binarization Loss: 0.0000
Step 3000/900000, Total Loss: 4.4505, Mel Loss: 1.4591, Mel PostNet Loss: 1.4461, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5452, Binarization Loss: 0.0000
Step 3100/900000, Total Loss: 5.0410, Mel Loss: 1.4640, Mel PostNet Loss: 1.4491, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.1279, Binarization Loss: 0.0000
Step 3200/900000, Total Loss: 3.9055, Mel Loss: 1.3165, Mel PostNet Loss: 1.3033, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2858, Binarization Loss: 0.0000
Step 3300/900000, Total Loss: 4.4182, Mel Loss: 1.4634, Mel PostNet Loss: 1.4529, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5020, Binarization Loss: 0.0000
Step 3400/900000, Total Loss: 4.3198, Mel Loss: 1.4427, Mel PostNet Loss: 1.4419, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4352, Binarization Loss: 0.0000
Step 3500/900000, Total Loss: 4.2998, Mel Loss: 1.3801, Mel PostNet Loss: 1.3946, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5250, Binarization Loss: 0.0000
Step 3600/900000, Total Loss: 4.3824, Mel Loss: 1.4537, Mel PostNet Loss: 1.4742, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4545, Binarization Loss: 0.0000
Step 3700/900000, Total Loss: 3.5795, Mel Loss: 1.3237, Mel PostNet Loss: 1.2987, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 0.9571, Binarization Loss: 0.0000
Step 3800/900000, Total Loss: 4.6978, Mel Loss: 1.7221, Mel PostNet Loss: 1.7121, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2636, Binarization Loss: 0.0000
Step 3900/900000, Total Loss: 3.7043, Mel Loss: 1.3014, Mel PostNet Loss: 1.3235, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0795, Binarization Loss: 0.0000
Step 4000/900000, Total Loss: 4.8257, Mel Loss: 1.6554, Mel PostNet Loss: 1.6553, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5151, Binarization Loss: 0.0000
Step 4100/900000, Total Loss: 3.8228, Mel Loss: 1.3046, Mel PostNet Loss: 1.3429, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1754, Binarization Loss: 0.0000
Step 4200/900000, Total Loss: 4.2178, Mel Loss: 1.4629, Mel PostNet Loss: 1.4556, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2993, Binarization Loss: 0.0000
Step 4300/900000, Total Loss: 4.7537, Mel Loss: 1.4996, Mel PostNet Loss: 1.4917, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7624, Binarization Loss: 0.0000
Step 4400/900000, Total Loss: 4.0874, Mel Loss: 1.3563, Mel PostNet Loss: 1.3538, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3773, Binarization Loss: 0.0000
Step 4500/900000, Total Loss: 4.9784, Mel Loss: 1.6287, Mel PostNet Loss: 1.6206, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7291, Binarization Loss: 0.0000
Step 4600/900000, Total Loss: 4.9841, Mel Loss: 1.7470, Mel PostNet Loss: 1.7391, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4980, Binarization Loss: 0.0000
Step 4700/900000, Total Loss: 4.3398, Mel Loss: 1.4977, Mel PostNet Loss: 1.4970, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3450, Binarization Loss: 0.0000
Step 4800/900000, Total Loss: 4.0617, Mel Loss: 1.3405, Mel PostNet Loss: 1.3418, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3794, Binarization Loss: 0.0000
Step 4900/900000, Total Loss: 4.6797, Mel Loss: 1.5217, Mel PostNet Loss: 1.5182, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.6398, Binarization Loss: 0.0000
Step 5000/900000, Total Loss: 4.4443, Mel Loss: 1.3802, Mel PostNet Loss: 1.3847, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.6794, Binarization Loss: 0.0000
Step 5100/900000, Total Loss: 4.3850, Mel Loss: 1.4240, Mel PostNet Loss: 1.4321, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5289, Binarization Loss: 0.0000
Step 5200/900000, Total Loss: 4.8022, Mel Loss: 1.6309, Mel PostNet Loss: 1.6361, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5352, Binarization Loss: 0.0000
Step 5300/900000, Total Loss: 3.9737, Mel Loss: 1.2536, Mel PostNet Loss: 1.2502, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4700, Binarization Loss: 0.0000
Step 5400/900000, Total Loss: 4.1717, Mel Loss: 1.3704, Mel PostNet Loss: 1.3776, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4238, Binarization Loss: 0.0000
Step 5500/900000, Total Loss: 3.8206, Mel Loss: 1.3060, Mel PostNet Loss: 1.3066, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2080, Binarization Loss: 0.0000
Step 5600/900000, Total Loss: 4.4352, Mel Loss: 1.5948, Mel PostNet Loss: 1.5911, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2493, Binarization Loss: 0.0000
Step 5700/900000, Total Loss: 4.7122, Mel Loss: 1.6241, Mel PostNet Loss: 1.6082, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4798, Binarization Loss: 0.0000
Step 5800/900000, Total Loss: 4.2564, Mel Loss: 1.3651, Mel PostNet Loss: 1.3681, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5232, Binarization Loss: 0.0000
Step 5900/900000, Total Loss: 4.0942, Mel Loss: 1.3783, Mel PostNet Loss: 1.3779, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3380, Binarization Loss: 0.0000
Step 6000/900000, Total Loss: 4.5888, Mel Loss: 1.5374, Mel PostNet Loss: 1.5325, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5189, Binarization Loss: 0.0000
Step 6100/900000, Total Loss: 4.2512, Mel Loss: 1.4772, Mel PostNet Loss: 1.4669, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3071, Binarization Loss: 0.0000
Step 6200/900000, Total Loss: 3.9720, Mel Loss: 1.3059, Mel PostNet Loss: 1.3025, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3636, Binarization Loss: 0.0000
Step 6300/900000, Total Loss: 4.4742, Mel Loss: 1.5041, Mel PostNet Loss: 1.5113, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4587, Binarization Loss: 0.0000
Step 6400/900000, Total Loss: 4.0323, Mel Loss: 1.4386, Mel PostNet Loss: 1.4384, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1554, Binarization Loss: 0.0000
Step 6500/900000, Total Loss: 5.9366, Mel Loss: 2.3486, Mel PostNet Loss: 2.3304, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2576, Binarization Loss: 0.0000
Step 6600/900000, Total Loss: 4.2333, Mel Loss: 1.3533, Mel PostNet Loss: 1.3513, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5287, Binarization Loss: 0.0000
Step 6700/900000, Total Loss: 4.7687, Mel Loss: 1.6820, Mel PostNet Loss: 1.6797, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4070, Binarization Loss: 0.0000
Step 6800/900000, Total Loss: 3.7018, Mel Loss: 1.2588, Mel PostNet Loss: 1.2544, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1886, Binarization Loss: 0.0000
Step 6900/900000, Total Loss: 4.6958, Mel Loss: 1.5829, Mel PostNet Loss: 1.5824, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5306, Binarization Loss: 0.0000
Step 7000/900000, Total Loss: 5.1534, Mel Loss: 2.0010, Mel PostNet Loss: 1.9667, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1857, Binarization Loss: 0.0000
Step 7100/900000, Total Loss: 4.7600, Mel Loss: 1.5854, Mel PostNet Loss: 1.5685, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.6060, Binarization Loss: 0.0000
Step 7200/900000, Total Loss: 3.8624, Mel Loss: 1.3903, Mel PostNet Loss: 1.3781, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0940, Binarization Loss: 0.0000
Step 7300/900000, Total Loss: 4.2675, Mel Loss: 1.3547, Mel PostNet Loss: 1.3564, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5564, Binarization Loss: 0.0000
